21/08/2018 02:37:23 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 02:38:53 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 02:46:15 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 02:46:16 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | Path '/Themes/Gland/Views/Category/ShowBySlugProduct.cshtml' was not found.
21/08/2018 02:48:27 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | Object reference not set to an instance of an object.
21/08/2018 02:50:35 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 03:00:08 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 03:00:15 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | Object reference not set to an instance of an object.
21/08/2018 03:00:17 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | Object reference not set to an instance of an object.
21/08/2018 03:01:19 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 03:01:20 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | Conversion failed when converting from a character string to uniqueidentifier.
21/08/2018 03:04:42 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 03:06:20 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 03:09:47 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 03:13:47 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 03:29:32 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 03:30:22 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | D:\IT\C#\Web\WebMvc\WebMvc\Themes\Gland\Views\Shared\_Paging.cshtml(13): error CS1002: ; expected
21/08/2018 03:34:06 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 03:36:14 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 03:42:01 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | The length of the URL for this request exceeds the configured maxUrlLength value.
21/08/2018 03:42:01 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | The length of the URL for this request exceeds the configured maxUrlLength value.
21/08/2018 03:42:01 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | The length of the URL for this request exceeds the configured maxUrlLength value.
21/08/2018 03:42:01 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | The length of the URL for this request exceeds the configured maxUrlLength value.
21/08/2018 03:42:01 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | The length of the URL for this request exceeds the configured maxUrlLength value.
21/08/2018 03:43:17 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | The length of the URL for this request exceeds the configured maxUrlLength value.
21/08/2018 03:43:17 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | The length of the URL for this request exceeds the configured maxUrlLength value.
21/08/2018 03:43:17 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | The length of the URL for this request exceeds the configured maxUrlLength value.
21/08/2018 03:43:17 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | The length of the URL for this request exceeds the configured maxUrlLength value.
21/08/2018 03:43:17 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | The length of the URL for this request exceeds the configured maxUrlLength value.
21/08/2018 03:47:30 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 08:52:50 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
21/08/2018 08:52:50 | WebMvc.dll | Application_Error | WebMvc.MvcApplication | 56 | Path '/Themes/Gland/Views/Product/ShowBySlug.cshtml' was not found.
22/08/2018 02:08:52 | WebMvc.dll | Application_Start | WebMvc.MvcApplication | 28 | START APP
